,Andrew,Goldy,Callum,Casey,Judd,Alec,Katz,Josh,Fox,Beau,Patrick,Brock,Chuck,Boxer,Denardi,Kimmel,Alvaro,Wilson
Emphasized,315,317,352,394,141,267,272,295,253,196,207,77,38,393,7,265,48,240
Loved,3193,2700,1540,4788,1066,1939,921,1681,2445,2240,1907,927,303,1610,41,2067,606,1009
Liked,83,135,125,176,135,57,121,83,99,81,108,57,43,213,8,156,66,152
Laughed at,233,255,80,146,174,26,47,89,7,1,171,1,7,269,20,39,4,44
Disliked,3,27,48,43,8,26,15,30,36,22,14,5,35,71,6,21,6,26
Questioned,12,15,2,6,3,54,7,4,23,13,8,0,5,25,0,16,1,10
No Reaction,2373,4538,4562,5204,3698,10040,2045,3889,1260,1654,2412,410,3375,4188,363,3216,440,6556
Total,6212,7987,6709,10757,5225,12409,3428,6071,4123,4207,4827,1477,3806,6769,445,5780,1171,8037
